id,label,text,synthetic
d001,fact,水は摂氏0度で凍り、100度で沸騰します(標準気圧下)。中学理科で学ぶ基本的な事実です。,True
d002,fact,地球は太陽の周りを約365日かけて一周します。これは公転と呼ばれる運動です。,True
d003,fact,日本の国会は衆議院と参議院の二院制で構成されており、憲法にそう定められています。,True
d004,fact,富士山は日本で最も標高の高い山で、標高は約3776メートルです。,True
d005,fact,光の速度は真空中で約秒速30万キロメートル、これは物理法則で確立された値です。,True
d006,fact,ヒトの体温は健康な状態で約36から37度前後で、それ以上は発熱と見なされます。,True
d007,fact,インフルエンザは冬季に流行しやすく、手洗いとマスクが感染予防に有効とされています。,True
d008,fact,消費税は日本で導入された間接税で、現在の標準税率は10パーセントです。,True
d009,fact,オリンピックは近代の国際大会として夏季と冬季が交互に開催されています。,True
d010,fact,酸素は化学記号Oで、大気中では約21パーセントを占める主要な気体です。,True
d011,fact,原稿を書く際は事実確認と一次資料の参照が推奨され、これは編集の基本原則です。,True
d012,fact,運転免許は法律で定められた年齢以上で取得可能で、更新時に視力検査があります。,True
m001,misinformation,朝に水を1リットル一気に飲むだけであらゆる病気が治るという説が広まっています。,True
m002,misinformation,月の裏側には秘密基地があり、政府はその存在を隠していると言われています。,True
m003,misinformation,特定の色のペンで契約書に署名するだけで法的効力がなくなるという噂があります。,True
m004,misinformation,電子レンジで温めた食品は栄養が完全に失われるという言説が流布しています。,True
m005,misinformation,5Gの電波を浴びるだけで体調不良を引き起こすという主張が拡散しています。,True
m006,misinformation,靴下を左右逆に履くだけで金運が10倍になるという情報が話題になっています。,True
m007,misinformation,深夜0時に鏡を見るとタイムスリップできるという都市伝説がSNSで広まっています。,True
m008,misinformation,パンをトーストに焼く時間で寿命が延びるという根拠不明の説が語られています。,True
m009,misinformation,特定の音楽を再生するだけで観葉植物が2倍の速度で成長すると信じられています。,True
m010,misinformation,月の満ち欠けを見るだけで宝くじの当選番号が予測できるという噂が回っています。,True
m011,misinformation,特定の日付に生まれた人だけが持つ超能力があると根拠なく主張する投稿が増えています。,True
m012,misinformation,青いLEDライトを1時間浴びるとあらゆるアレルギーが治るという説が広まっています。,True
